hiv	enter	brain	>	hiv	infect	brain
blood	screen for	hiv	>	hiv	transmit via	blood
hiv	transmit	blood	>	hiv	carry in	blood
hiv	enter	cns	>	hiv	infect	brain
hiv	be in	blood	>	hiv	find in	blood
hiv	spread through	sex	>	hiv	transmit by	intercourse
blood	screen for	hiv	>	blood	test for	hiv
thousand	infect with	hiv	>	million	have	hiv
hiv	transmit by	transfusion	>	hiv	transmit through	blood
hiv	destroy	lymphocyte	>	macrophage	infect by	hiv
hiv	carry in	blood	>	hiv	find in	blood
mosquito	transmit	hiv	>	insect	transmit	hiv
hiv	transmit by	sex	>	hiv	spread through	intercourse
virus	include	hiv	>	hiv	relate to	virus
blood	transmit	hiv	>	hiv	enter	bloodstream
hiv	carry by	monocyte	>	lymphocyte	infect with	hiv
hiv	transmit via	blood	>	blood	transmit	hiv
hiv	transmit through	placenta	>	hiv	transmit to	fetus
retrovirus	include	hiv	>	hiv	classify as	retrovirus
hiv	transmit by	blood	>	blood	infect with	hiv
hiv	isolate from	blood	>	hiv	spread with	blood
blood	test for	hiv	>	hiv	transmit through	transfusion
hiv	transmit by	blood	>	hiv	isolate from	blood
macrophage	infect with	hiv	>	hiv	culture from	lymphocyte
hiv	refer to	virus	>	virus	know as	hiv
hiv	cause	aid	>	hiv	turn to	aid
aid	cause by	hiv	>	hiv	associate with	aid
hiv	transmit	blood	>	hiv	transmit by	transfusion
hiv	transmit via	intercourse	>	hiv	spread through	intercourse
hiv	transmit by	mosquito	>	hiv	isolate from	blood
hiv	spread with	blood	>	hiv	transmit by	transfusion
hiv	classify as	retrovirus	>	hiv	mean	virus
hiv	find in	semen	>	sperm	test for	hiv
hiv	isolate from	blood	>	hiv	transmit via	blood
hiv	find in	semen	>	sex	transmit	hiv
hiv	infect	monocyte	>	monocyte	infect by	hiv
hiv	infect	macrophage	>	hiv	attack	lymphocyte
hiv	relate to	virus	>	hiv	contain	rna
blood	infect with	hiv	>	hiv	transmit via	blood
hiv	transmit via	intercourse	>	hiv	spread through	sex
blood	transmit	hiv	>	hiv	transmit through	transfusion
hiv	lead to	aid	>	hiv	cause	meningitis
hiv	find in	semen	>	hiv	shed in	semen
hiv	refer to	virus	>	hiv	indicate	virus
aid	cause by	hiv	>	sarcoma	cause by	hiv
hiv	transmit through	blood	>	hiv	transmit by	transfusion
blood	transmit	hiv	>	hiv	carry in	blood
hiv	culture from	lymphocyte	>	macrophage	infect by	hiv
hiv	transmit through	sex	>	hiv	transmit through	intercourse
hiv	isolate from	blood	>	hiv	find in	blood
hiv	transmit across	placenta	>	hiv	transmit to	fetus
hiv	classify as	retrovirus	>	hiv	contain	rna
hiv	be in	blood	>	hiv	isolate from	blood
hiv	cause	immunodeficiency	>	hiv	cause	aid
hiv	enter	bloodstream	>	hiv	transmit through	transfusion
mosquito	transmit	hiv	>	hiv	find in	blood
hiv	enter	bloodstream	>	hiv	isolate from	blood
hiv	associate with	aid	>	hiv	turn to	aid
hiv	enter	cns	>	hiv	enter	brain
hiv	transmit via	blood	>	blood	carry	hiv
hiv	attach to	cd4	>	hiv	infect	cd4
hiv	carry into	brain	>	hiv	infect	brain
hiv	infect	cd4	>	hiv	attach to	cd4
blood	infect with	hiv	>	hiv	transmit in	blood
hiv	carry in	blood	>	blood	carry	hiv
hiv	associate with	aid	>	hiv	progress to	aid
hiv	spread with	blood	>	blood	test for	hiv
